settlement_name,origin,comment,proposed_origin_code,research_note
Zalafa,Unstable or seasonal settlement,Abdul Hamid II estate,ORIGIN_STATE_SPONSORED_AMBIGUOUS,Could be local cultivators; verify
Mu'awiya,Daughter village,,ORIGIN_LOCAL_SUBDISTRICT,Umm al-Fahm daughter village
Arida,Bedouin,Arab al Arida,ORIGIN_BEDOUIN_MOBILE,Baysan/Jordan Valley tribal
Bawati al (Hakimiya),Bedouin,Arab al Ghazawiya-Bawati,ORIGIN_BEDOUIN_MOBILE,Baysan/Jordan Valley tribal
Fatur,Bedouin?,,ORIGIN_BEDOUIN_MOBILE_UNCERTAIN,Needs verification
Masil al Jizl,Bedouin,Arab al Zinati,ORIGIN_BEDOUIN_MOBILE,Baysan/Jordan Valley tribal
Sakhina,Bedouin,Arab es Sakhine; Abdul Hamid II Estate,ORIGIN_BEDOUIN_MOBILE_AND_STATE,State land plus tribe
Wadi al Bira,Unknown,,ORIGIN_UNKNOWN,Needs source
Zaba,Dispersed Bedouin settlement,Abdul Hamid II estate,ORIGIN_BEDOUIN_MOBILE_AND_STATE,State land plus Bedouin settlement
Kh. Suwwana,Bedouin,Arab al-Samniya and Arab Tauqiya,ORIGIN_BEDOUIN_MOBILE,Acre/Galilee tribal
Hamma,Arab settlers,"Railroad, Abdul Hamid II and effendi investment",ORIGIN_ARAB_SETTLERS_AMBIGUOUS,Important: 1945 Gazetteer says owned by people from Mukheiba in Transjordan
"Kh. al Wa'ra es Sauda, Al Mawasi, al Wuheib",Bedouin,"Arab al Mawasi, Wuheib",ORIGIN_BEDOUIN_MOBILE,Huleh/Galilee tribal
al Manara,Bedouin,Arab al Manara,ORIGIN_BEDOUIN_MOBILE,Tribal
Es Samikiya,Bedouin,Arab al Samakiya,ORIGIN_BEDOUIN_MOBILE,Capernaum/Sea of Galilee
Beisamun,Bedouin,Beisamun tribe,ORIGIN_BEDOUIN_MOBILE,Huleh
Buweiziya and Al Meis,Unknown,,ORIGIN_UNKNOWN,Needs source
Dawwara,Unknown,Estate?,ORIGIN_UNKNOWN_OR_ESTATE,Needs source
Gharuba,Unknown,tomb,ORIGIN_UNKNOWN,Needs source
Huseiniya,Algerian Bedouin,Arab Zubaydat,ORIGIN_EXTERNAL_OTTOMAN_OR_BEDOUIN,Algerian-origin lead
Khayim al Walid,Unknown,,ORIGIN_UNKNOWN,Needs source
Khisas,Unknown,,ORIGIN_UNKNOWN,Needs source
Kirad al Baqqara,Bedouin (Khalidi),"Arab al Baqqara, Ayalet al Shahar",ORIGIN_BEDOUIN_MOBILE,Huleh/tribal
Kirad al Ghannama,Bedouin,"Arab al Ghannama, Ayalet al Shahar",ORIGIN_BEDOUIN_MOBILE,Huleh/tribal
Mallaha and Arab Zubeid,Bedouin,Arab Zubayd,ORIGIN_BEDOUIN_MOBILE,Huleh swamp-dwelling Arab/Bedouin
Muftakhira and Barjifyat,Unknown,,ORIGIN_UNKNOWN,Possibly Egyptian per discussion nearby
Nebi Yusha,Lebanese,Pilgrimage site,ORIGIN_SOUTHERN_LEVANT,Explicit Lebanon lead
Qudeiriya,Unknown,Shrine to sheikh Rumi,ORIGIN_UNKNOWN,Needs source
"Sinbariya/Sanbariya, Es",Unknown,,ORIGIN_UNKNOWN,Needs source
Tuba (Arab Heib),Bedouin,,ORIGIN_BEDOUIN_MOBILE,Huleh/Galilee tribal
"Ulmaniya, al and Arab al-Zubayd",Unknown,tomb,ORIGIN_UNKNOWN,Named after Bedouin tribe per text
Yarda,Effendi estate,Ayalet al Shahar,ORIGIN_UNKNOWN_OR_ESTATE,Estate-led settlement
Zanghariyeh (Zuhluq) and Khirbat Karraza,Bedouin,Arab al Zanghariyeh,ORIGIN_BEDOUIN_MOBILE,Major tribal settlement
Zawiya,Unknown,,ORIGIN_UNKNOWN,Needs source
